"List(1239, 3549, 3561)",122
"List(701, 1757, 7018)",122
"List(209, 1239, 2914)",122
"List(1239, 3356, 7018)",122
"List(701, 7018, 20005)",122
"List(701, 2828, 7018)",122
"List(1239, 7018, 13763)",122
"List(1239, 2828, 7018)",122
"List(701, 9416, 9505)",122
"List(1668, 3549, 7018)",122
"List(701, 1239, 9680)",122
"List(1239, 4637, 4837)",122
"List(3549, 4637, 6453)",122
"List(3209, 3356, 3549)",122
"List(1239, 5089, 5511)",122
"List(701, 1239, 12178)",122
"List(3356, 6432, 7018)",122
"List(701, 1239, 4230)",122
"List(209, 2914, 7018)",122
"List(4323, 7018, 16477)",122
"List(701, 7116, 10912)",122
"List(174, 701, 3561)",122
"List(3320, 3356, 6453)",122
"List(1239, 3561, 20201)",122
"List(1239, 3257, 3356)",122
"List(1299, 3549, 7018)",122
"List(701, 10912, 18736)",122
"List(3320, 3549, 7018)",122
"List(701, 1299, 3549)",122
"List(701, 3356, 3561)",122
"List(701, 7018, 16787)",122
"List(1239, 3561, 6993)",122
"List(293, 2914, 3491)",122
"List(701, 3356, 3549)",122
"List(1239, 2828, 3549)",122
"List(701, 7018, 25991)",122
"List(209, 3356, 7018)",122
"List(1239, 7018, 29895)",122
"List(701, 7018, 19291)",122
"List(3303, 3356, 6453)",122
"List(3320, 6453, 7018)",122
"List(3320, 3356, 3549)",122
"List(1239, 3561, 7018)",122
"List(2828, 6453, 7018)",122
"List(701, 3491, 6762)",122
"List(701, 3356, 22351)",122
"List(1239, 3561, 5650)",122
"List(2914, 3561, 6539)",122
"List(701, 7018, 7381)",122
"List(3356, 3561, 5400)",122
"List(1239, 3356, 4637)",122
"List(1239, 6453, 12956)",122
"List(577, 3549, 6453)",122
"List(1239, 3303, 6453)",122
"List(2914, 3356, 3549)",122
"List(701, 6453, 6461)",122
"List(2828, 4637, 6453)",122
"List(701, 1239, 2828)",122
"List(3356, 7018, 22773)",122
"List(701, 3737, 7018)",122
"List(2914, 5511, 7018)",122
"List(3356, 5511, 6453)",122
"List(6453, 6762, 12956)",122
"List(1299, 3561, 7018)",122
